ChosenEmployerId2.1.13,ChosenEmpBenefitTransId2.1.13,ChosenEmployeeBenefitId2.1.13,ChosenPayfileID2.1.13
2703,33780,16785,1920
2638,33781,16785,1920
2735,33782,16784,1920
2485,33783,16784,1920
2833,33784,8963,2023
2660,33785,8963,2023
2520,33786,8963,2023
2530,33787,8963,2023
2570,33788,8962,2023
2756,33789,8962,2023
2752,33790,8962,2023
2500,33791,8962,2023
2499,33792,8964,2023
2597,33793,8964,2023
2836,33794,8964,2023
2766,33795,8964,2023
2768,33796,8966,2023
2767,33797,8966,2023
2716,33798,8966,2023
2710,33799,8966,2023
2829,33800,8968,2023
2911,33801,8967,2023
2726,33802,8968,2023
2711,33803,8968,2023
2668,33804,8967,2023
2755,33805,8968,2023
2678,33806,8697,2032
2829,33807,8696,2032
2911,33808,8697,2032
2726,33809,8697,2032
2711,33810,8696,2032
2668,33811,8697,2032
